rho E momentum
8.82801664e-01 1.28386691e-01 2.10948903e+00
8.76240445e-01 1.34953678e-01 2.08876785e+00
8.69632081e-01 1.41499108e-01 2.06801897e+00
8.62984630e-01 1.48013251e-01 2.04726994e+00
8.56305432e-01 1.54487380e-01 2.02654553e+00
8.49601165e-01 1.60913684e-01 2.00586791e+00
8.42877899e-01 1.67285196e-01 1.98525690e+00
8.36141143e-01 1.73595710e-01 1.96473019e+00
8.29395900e-01 1.79839721e-01 1.94430349e+00
8.22646708e-01 1.86012353e-01 1.92399076e+00
8.15897680e-01 1.92109298e-01 1.90380434e+00
8.09152550e-01 1.98126769e-01 1.88375516e+00
8.02414700e-01 2.04061440e-01 1.86385280e+00
7.95687201e-01 2.09910409e-01 1.84410569e+00
7.88972835e-01 2.15671152e-01 1.82452119e+00
7.82274127e-01 2.21341484e-01 1.80510570e+00
7.75593367e-01 2.26919531e-01 1.78586478e+00
7.68932632e-01 2.32403695e-01 1.76680319e+00
7.62293809e-01 2.37792629e-01 1.74792501e+00
7.55678608e-01 2.43085210e-01 1.72923368e+00
7.49088583e-01 2.48280519e-01 1.71073209e+00
7.42525141e-01 2.53377822e-01 1.69242261e+00
7.35989563e-01 2.58376547e-01 1.67430715e+00
7.29483011e-01 2.63276276e-01 1.65638722e+00
7.23006537e-01 2.68076722e-01 1.63866394e+00
7.16561097e-01 2.72777722e-01 1.62113813e+00
7.10147559e-01 2.77379223e-01 1.60381028e+00
7.03766709e-01 2.81881269e-01 1.58668061e+00
6.97419259e-01 2.86283998e-01 1.56974911e+00
6.91105854e-01 2.90587627e-01 1.55301555e+00
6.84827077e-01 2.94792446e-01 1.53647948e+00
6.78583455e-01 2.98898813e-01 1.52014031e+00
6.72375464e-01 3.02907145e-01 1.50399726e+00
6.66203534e-01 3.06817914e-01 1.48804942e+00
6.60068050e-01 3.10631642e-01 1.47229576e+00
6.53969361e-01 3.14348894e-01 1.45673512e+00
6.47907779e-01 3.17970275e-01 1.44136625e+00
6.41883582e-01 3.21496429e-01 1.42618780e+00
6.35897023e-01 3.24928029e-01 1.41119835e+00
6.29948325e-01 3.28265781e-01 1.39639641e+00
